Cohort,Dataset,Rows,Features,NumericalFeatures,CategoricalFeatures,Target,MissingRatio,SeedCount,Source,OpenMLDatasetId,License,AccessURL,SplitProtocol,ScalerProtocol,MissingHandling,HoldoutNote
main_30,SGEMM_GPU.csv,4477,19,19,0,y,0.0,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_airfoil_self_noise.csv,1503,5,5,0,target,0.0,10,OpenML,44957,verify_upstream_before_archival_or_submission,https://www.openml.org/d/44957,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Ames_Housing.csv,1460,79,36,43,SalePrice,0.06787757933067452,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_weather_izmir.csv,1461,9,9,0,target,0.0,10,OpenML,42369,verify_upstream_before_archival_or_submission,https://www.openml.org/d/42369,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_medical_cost.csv,1338,6,3,3,target,0.0,10,OpenML,46289,verify_upstream_before_archival_or_submission,https://www.openml.org/d/46289,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Bank8FM.csv,40768,10,10,0,Y,0.0,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Diamonds.csv,53940,9,6,3,price,0.0,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,Ailerons.csv,13750,40,40,0,goal,0.0,10,local_benchmark,,verify_upstream_before_archival_or_submission,,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_abalone.csv,4177,8,7,1,target,0.0,10,OpenML,44956,verify_upstream_before_archival_or_submission,https://www.openml.org/d/44956,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
main_30,OpenML_debutanizer.csv,2394,7,7,0,target,0.0,10,OpenML,23516,verify_upstream_before_archival_or_submission,https://www.openml.org/d/23516,"seeded build_payload_for_protocol; train/labeled, unlabeled, and test/eval partitions are created inside the runner",X scaler is fit on D_L^X union D_U; y scaler is fit on D_L^Y only when a method uses scaled targets; test covariates are never used for training or scaling,runner preprocessing; no target leakage; categorical/string columns are handled by the established pipeline/model wrapper,main_benchmark
